[2019-04-29 23:23:40.337387][info]:  Connected to: 172.27.0.1:48302
[2019-04-29 23:23:40.339400][info]:  Received message [bytes transferred:52]
[2019-04-29 23:23:40.339641][info]:  Decoded header - ipAddress: 172.27.0.1 - type:1 - len: 53
[2019-04-29 23:23:40.339735][info]:  Decomposed message - type:1 - LedAction:0
[2019-04-29 23:23:40.339792][info]:  1
[2019-04-29 23:23:45.145261][info]:  Connected to: 172.27.0.1:48304
[2019-04-29 23:23:45.145863][info]:  Received message [bytes transferred:52]
[2019-04-29 23:23:45.145980][info]:  Decoded header - ipAddress: 172.27.0.1 - type:1 - len: 53
[2019-04-29 23:23:45.146053][info]:  Decomposed message - type:1 - LedAction:0
[2019-04-29 23:23:45.146107][info]:  1
[2019-04-29 23:23:46.626675][info]:  Connected to: 172.27.0.1:48306
[2019-04-29 23:23:46.627116][info]:  Received message [bytes transferred:52]
[2019-04-29 23:23:46.627202][info]:  Decoded header - ipAddress: 172.27.0.1 - type:1 - len: 53
[2019-04-29 23:23:46.627271][info]:  Decomposed message - type:1 - LedAction:0
[2019-04-29 23:23:46.627325][info]:  1
[2019-04-29 23:23:48.443653][info]:  Connected to: 172.27.0.1:48308
[2019-04-29 23:23:48.444088][info]:  Received message [bytes transferred:52]
[2019-04-29 23:23:48.444170][info]:  Decoded header - ipAddress: 172.27.0.1 - type:1 - len: 53
[2019-04-29 23:23:48.444240][info]:  Decomposed message - type:1 - LedAction:0
[2019-04-29 23:23:48.444292][info]:  1
[2019-04-29 23:23:49.918740][info]:  Connected to: 172.27.0.1:48310
[2019-04-29 23:23:49.919173][info]:  Received message [bytes transferred:48]
[2019-04-29 23:23:49.919260][info]:  Decoded header - ipAddress: 172.27.0.1 - type:0 - len: 49
[2019-04-29 23:23:49.919326][info]:  Decomposed message - type:0
[2019-04-29 23:23:49.919375][info]:  0
